,link,headline,summary,date
93,http://query.nytimes.com/gst/fullpage.html?res=9F02E6DF1139F930A25753C1A9679D8B63,Publisher of News Corp.'s Wall Street Journal Europe Resigns,"9:30 p.m. | Updated The News Corporation, already dealing with the fallout from a phone-hacking scandal in Britain, has suffered another blow to its European operations.",
471,http://query.nytimes.com/gst/fullpage.html?res=9A00E2DE103BF932A15753C1A9679D8B63,Inside The Times,"International AMID PROTESTS, GREECE",
470,https://www.nytimes.com/video/continuous/1248069366902/timescast-november-23-2010.html,"TimesCast | November 23, 2010",North and South Korea exchange artillery fire; American companies have their most profitable quarter ever; and News Corps invests in an iPad-only newspaper.,
441,http://query.nytimes.com/gst/fullpage.html?res=9906E1DB113CF93AA15750C0A9649D8B63,Bertelsmann Weighs Public Offering,"BERLIN -- Bertelsmann, the biggest media company in Europe, said Wednesday that it was considering a public offering of stock to raise money for expansion, a statement that marked a striking change of heart by the controlling Mohn family. Thomas Rabe, who took over as chief executive of Bertelsmann this year, said the company was looking for ways to accelerate its move into digital businesses and developing economies. While Bertelsmann's portfolio includes the publisher Random House and the developer of international television hits like ''Who Wants to Be a Millionaire,'' 80 percent of the company's revenue comes from slow-growing Europe.",
77,http://query.nytimes.com/gst/fullpage.html?res=9E05EFDF1E39F935A35750C0A9649D8B63,News Corp. Faces Inquiry Of Subsidiary For Bribery,"As News Corporation seeks to contain a widening investigation into illegal information gathering at its British publishing unit, the company may face fresh allegations at another problematic subsidiary. News Outdoor Russia, a Moscow-based billboard company that News Corporation sold to a Kremlin-controlled bank in July, is the subject of an F.B.I.inquiry into whether the company bribed local officials to approve favorable sign placements, The Wall Street Journal reported Monday.",
321,http://query.nytimes.com/gst/fullpage.html?res=9E00E4D7143FF937A15754C0A9679D8B63,THE STRIP,Brian McFadden The Strip comic mocks the activist who attempted to throw a pie at Rupert Murdoch during hearings before the British Parliament (M),
313,http://query.nytimes.com/gst/fullpage.html?res=940DE5D8173FF936A15754C0A9679D8B63,"More Than Kin, and Less Than Kind","AT the hearing into the News of the World phone hacking scandal in London this past Tuesday, the commissioner of Scotland Yard did something unusual for a policeman. He quoted Shakespeare. Explaining the swiftness of his resignation, he mangled a bit of Macbeth: ''If 'twere best it were done, 'twere well it were done quickly.'' The reference was perfectly fitting for a scandal whose defining adjective is coming to be ''Shakespearean.'' Many have noted superficial similarities between the scandal and Shakespearean tragedy: overheard messages, hired thugs. There's a hashtag sprawling through Twitter: #shakespeare4murdoch. (My favorite so far: ''remorse, remorse, my kingdom for remorse.'')",
248,https://www.nytimes.com/video/multimedia/100000000952267/timescast--july-18-2011.html,"TimesCast | July 18, 2011","The phone-hacking scandal in Britain takes down another top police official; and a British parliamentary committee anticipates the testimony of Rupert Murdoch, James Murdoch and Rebekah Brooks.",
246,https://www.nytimes.com/video/multimedia/100000000961340/timescast--july-21-2011.html,"TimesCast | July 21, 2011","July 21, 2011 - Explosions and a gun attack shake Norway; James Murdoch’s testimony before a Parliamentary committee is under scrutiny; and judges prepare for New York’s first gay weddings.",
236,https://www.nytimes.com/video/world/europe/100000001297405/timescast--news-corps-settlements.html,TimesCast | Phone Hacking Settlements,"January 19, 2012 — In the legal battle over phone hacking, lawyers identify some of the high-profile victims, including Jude Law, who have reached settlements with the News Corp.",
234,https://www.nytimes.com/video/multimedia/100000001296922/timescast--january-19-2012.html,"TimesCast | January 19, 2012",Rick Perry drops out of the race | News Corp. settles with some high-profile hacking victims | Kodak files for bankruptcy.,
152,http://query.nytimes.com/gst/fullpage.html?res=9A04E5DE1631F930A35750C0A9679D8B63,News Corp. Said to Offer To Sell Unit,"9:01 p.m. | Updated The News Corporation has proposed spinning off the Sky News unit, in an effort to finally win government approval of its takeover of British Sky Broadcasting, a person briefed on the matter said on Wednesday.",
219,https://www.nytimes.com/video/business/100000001406462/busines-day-live-march-5-2012.html,"Business Day Live | March 5, 2012",Foreign investment begins anew in Europe; The boycott against Rush Limbaugh’s advertisers; Staving off a scandal at News Corp.,
1004,http://query.nytimes.com/gst/fullpage.html?res=9904E1D61739F933A05751C1A9629C8B63,ROGERS COMMUNICATIONS BUYS REMAINDER OF SPORTSNET,"Rogers Communications, Canada's biggest cable television company, acquired the shares it did not already own of Rogers Sportsnet Inc. for 45 million Canadian dollars ($36.9 million) from the News Corporation. Rogers Sportsnet operates four all-sports channels and has annual revenue of more than 100 million Canadian dollars. Rogers, which is based in Toronto, developed Sportsnet in 1998 with the Fox Cable Networks of Fox Corporation and the CTV network of BCE Inc., and increased its ownership to 80 percent when it bought CTV's 40 percent stake in 2001. Sportsnet competes with the TSN all-sports cable network, which is 70 percent owned by BCE.",
1005,http://query.nytimes.com/gst/fullpage.html?res=9E02E0DA1F3CF931A15750C0A9639C8B63,NEWS CORPORATION GAINS FULL CONTROL OF FOX,"The News Corporation, controlled by Rupert Murdoch, said yesterday that it had persuaded Fox Entertainment Group minority holders to accept $6.6 billion for their stock, giving the company full control of assets including the Fox News Channel and the 20th Century Fox film studio. Fox's investors will get $36.72 a share in News Corporation nonvoting shares for their stock, based on Friday's closing prices. Minority investors held 178.4 million shares, or 18 percent in Fox, and will get 2.04 News Corporation shares for each share of Fox.",
203,http://query.nytimes.com/gst/fullpage.html?res=9E07EFD9133EF932A3575BC0A9679D8B63,Gauging Impact of a Scandal,"How worried is The Wall Street Journal that it could be tainted by the scandal roiling Rupert Murdoch's British newspapers? Worried enough that it is asking its readers point-blank: What impact, if any, do the illegal acts by News of the World journalists have on their impression of The Wall Street Journal?",
194,http://query.nytimes.com/gst/fullpage.html?res=980CE0DD1539F932A25753C1A9679D8B63,Advisory Firm Urges Ouster Of Murdoch and His Sons,"8:00 p.m. | Updated A major investor advisory firm recommended Monday that shareholders of the News Corporation vote against the re-election of a vast majority of the media conglomerate's board, including Rupert Murdoch and his sons, who control the company.",
193,http://query.nytimes.com/gst/fullpage.html?res=9C07EFD81630F933A2575BC0A9679D8B63,"For Murdoch, a Board Meeting With Friendly Faces","When Rupert Murdoch sat down with his board on Tuesday for the first time since a phone hacking scandal overseas plunged his company into turmoil, he was surrounded by a lot of familiar, friendly faces. The meeting, held on the studio lot of 20th Century Fox and timed to coincide with News Corporation's quarterly earnings announcement on Wednesday, included many people with deep and longstanding ties to Mr. Murdoch, his company and his family.",
161,http://query.nytimes.com/gst/fullpage.html?res=9F00E4D81438F936A25753C1A9679D8B63,Pension Funds Challenge News Corporation Board,"A week before the News Corporation's annual shareholder meeting, the company is facing a growing chorus of investors rallying against company leadership after a phone-hacking scandal in Britain and a controversy this week over an unorthodox circulation arrangement in Europe. On Friday, California's two huge public sector pension funds said they would withhold support from some or all of the News Corporation's board nominees, including the chairman and chief executive,Rupert Murdoch, and push for the election of an independent chairman.",
