fdate,cik,findexdate,form,coname,fsize,doccount,sec_full_path
2003-05-12,0000732717,2003-05-12,10-Q,SBC COMMUNICATIONS INC,481300.0,3.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-03-000415.txt
2003-07-21,0000732717,2003-07-21,8-K,SBC COMMUNICATIONS INC,7099.0,1.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-03-000615.txt
2003-07-24,0000732717,2003-07-24,8-K,SBC COMMUNICATIONS INC,160144.0,3.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-03-000620.txt
2003-08-12,0000732717,2003-08-12,10-Q,SBC COMMUNICATIONS INC,673385.0,5.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-03-000694.txt
2003-10-21,0000732717,2003-10-21,8-K,SBC COMMUNICATIONS INC,43680.0,3.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-03-000848.txt
2003-11-12,0000732717,2003-11-12,10-Q,SBC COMMUNICATIONS INC,694156.0,5.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-03-000897.txt
2004-01-27,0000732717,2004-01-27,8-K,SBC COMMUNICATIONS INC,177825.0,3.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-04-000103.txt
2004-02-17,0000732717,2004-02-17,8-K,SBC COMMUNICATIONS INC,231902.0,2.0,https://www.sec.gov/Archives/edgar/data/732717/0000950123-04-001943.txt
2004-03-11,0000732717,2004-03-11,10-K,SBC COMMUNICATIONS INC,1129653.0,14.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-04-000205.txt
2004-03-22,0000732717,2004-03-22,8-K,SBC COMMUNICATIONS INC,5808.0,1.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-04-000216.txt
2004-04-21,0000732717,2004-04-21,8-K,SBC COMMUNICATIONS INC,174062.0,3.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-04-000256.txt
2004-05-06,0000732717,2004-05-06,10-Q,SBC COMMUNICATIONS INC,523255.0,7.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-04-000346.txt
2004-05-27,0000732717,2004-05-27,8-K,SBC COMMUNICATIONS INC,5710.0,1.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-04-000358.txt
2004-06-10,0000732717,2004-06-10,8-K,SBC COMMUNICATIONS INC,6166.0,1.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-04-000396.txt
2004-06-17,0000732717,2004-06-17,8-K,SBC COMMUNICATIONS INC,5931.0,1.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-04-000401.txt
2004-07-01,0000732717,2004-07-01,8-K,SBC COMMUNICATIONS INC,4032.0,1.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-04-000435.txt
2004-07-22,0000732717,2004-07-22,8-K,SBC COMMUNICATIONS INC,189767.0,3.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-04-000457.txt
2004-07-28,0000732717,2004-07-28,8-K,SBC COMMUNICATIONS INC,8783.0,1.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-04-000467.txt
2004-08-05,0000732717,2004-08-05,10-Q,SBC COMMUNICATIONS INC,706834.0,6.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-04-000525.txt
2004-08-18,0000732717,2004-08-18,8-K,SBC COMMUNICATIONS INC,335721.0,6.0,https://www.sec.gov/Archives/edgar/data/732717/0001193125-04-143151.txt
2004-09-01,0000732717,2004-09-01,8-K,SBC COMMUNICATIONS INC,12188.0,1.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-04-000531.txt
2004-09-30,0000732717,2004-09-30,8-K,SBC COMMUNICATIONS INC,13999.0,2.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-04-000556.txt
2004-10-13,0000732717,2004-10-13,8-K,SBC COMMUNICATIONS INC,15253.0,1.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-04-000589.txt
2004-10-19,0000732717,2004-10-19,8-K,SBC COMMUNICATIONS INC,16247.0,1.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-04-000593.txt
2004-10-21,0000732717,2004-10-21,8-K,SBC COMMUNICATIONS INC,134382.0,3.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-04-000599.txt
2004-10-26,0000732717,2004-10-26,8-K,SBC COMMUNICATIONS INC,361341.0,3.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-04-000601.txt
2004-10-27,0000732717,2004-10-27,8-K,SBC COMMUNICATIONS INC,93771.0,2.0,https://www.sec.gov/Archives/edgar/data/732717/0000950123-04-012515.txt
2004-10-28,0000732717,2004-10-28,8-K,SBC COMMUNICATIONS INC,10555.0,1.0,https://www.sec.gov/Archives/edgar/data/732717/0000950123-04-012603.txt
2004-11-03,0000732717,2004-11-03,8-K,SBC COMMUNICATIONS INC,329452.0,5.0,https://www.sec.gov/Archives/edgar/data/732717/0001193125-04-184793.txt
2004-11-05,0000732717,2004-11-05,10-Q,SBC COMMUNICATIONS INC,1030186.0,6.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-04-000664.txt
2004-11-15,0000732717,2004-11-15,8-K,SBC COMMUNICATIONS INC,14087.0,1.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-04-000670.txt
2004-11-24,0000732717,2004-11-24,8-K,SBC COMMUNICATIONS INC,116460.0,3.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-04-000677.txt
2004-11-29,0000732717,2004-11-29,8-K,SBC COMMUNICATIONS INC,11073.0,1.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-04-000680.txt
2004-12-20,0000732717,2004-12-20,8-K,SBC COMMUNICATIONS INC,19782.0,2.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-04-000717.txt
2005-01-11,0000732717,2005-01-11,8-K,SBC COMMUNICATIONS INC,15814.0,2.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-05-000035.txt
2005-01-26,0000732717,2005-01-26,8-K,SBC COMMUNICATIONS INC,416669.0,3.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-05-000038.txt
2005-01-31,0000732717,2005-01-31,8-K,SBC COMMUNICATIONS INC,490584.0,5.0,https://www.sec.gov/Archives/edgar/data/732717/0001193125-05-015466.txt
2005-02-25,0000732717,2005-02-25,8-K,SBC COMMUNICATIONS INC,12335.0,1.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-05-000145.txt
2005-03-11,0000732717,2005-03-11,8-K,SBC COMMUNICATIONS INC,18915.0,1.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-05-000173.txt
2005-03-11,0000732717,2005-03-11,10-K,SBC COMMUNICATIONS INC,3539733.0,18.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-05-000176.txt
2005-04-25,0000732717,2005-04-25,8-K,SBC COMMUNICATIONS INC,258952.0,3.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-05-000219.txt
2005-05-03,0000732717,2005-05-03,8-K,SBC COMMUNICATIONS INC,1884470.0,10.0,https://www.sec.gov/Archives/edgar/data/732717/0000950134-05-008804.txt
2005-05-06,0000732717,2005-05-06,10-Q,SBC COMMUNICATIONS INC,609248.0,6.0,https://www.sec.gov/Archives/edgar/data/732717/0000732717-05-000279.txt
