fdate,cik,findexdate,form,coname,fsize,doccount,sec_full_path
2005-11-21,0001308161,2005-11-21,8-K,NEWS CORP,21318.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-062508.txt
2005-11-22,0001308161,2005-11-22,8-K,NEWS CORP,21301.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-062746.txt
2005-11-23,0001308161,2005-11-23,8-K,NEWS CORP,21286.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-062926.txt
2005-11-28,0001308161,2005-11-28,8-K,NEWS CORP,28988.0,3.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-063335.txt
2005-11-29,0001308161,2005-11-29,8-K,NEWS CORP,21304.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-063518.txt
2005-11-30,0001308161,2005-11-30,8-K,NEWS CORP,21352.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-063711.txt
2005-12-01,0001308161,2005-12-01,8-K,NEWS CORP,21295.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-063891.txt
2005-12-02,0001308161,2005-12-02,8-K,NEWS CORP,21294.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-064223.txt
2005-12-05,0001308161,2005-12-05,8-K,NEWS CORP,21334.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-064522.txt
2005-12-06,0001308161,2005-12-06,8-K,NEWS CORP,21310.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-064832.txt
2005-12-07,0001308161,2005-12-07,8-K,NEWS CORP,21400.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-065142.txt
2005-12-08,0001308161,2005-12-08,8-K,NEWS CORP,21346.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-065478.txt
2005-12-09,0001308161,2005-12-09,8-K,NEWS CORP,21323.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-065738.txt
2005-12-12,0001308161,2005-12-12,8-K,NEWS CORP,21261.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-066177.txt
2005-12-13,0001308161,2005-12-13,8-K,NEWS CORP,21311.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-066418.txt
2005-12-14,0001308161,2005-12-14,8-K,NEWS CORP,21279.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-066590.txt
2005-12-15,0001308161,2005-12-15,8-K,NEWS CORP,21285.0,2.0,https://www.sec.gov/Archives/edgar/data/1308161/0001181431-05-066856.txt
