fdate,cik,findexdate,form,coname,fsize,doccount,sec_full_path
1999-01-28,0000732712,1999-01-28,8-K,BELL ATLANTIC CORP,83999.0,2.0,https://www.sec.gov/Archives/edgar/data/732712/0000950109-99-000254.txt
1999-03-30,0000732712,1999-03-30,10-K,BELL ATLANTIC CORP,834386.0,19.0,https://www.sec.gov/Archives/edgar/data/732712/0000950109-99-001134.txt
1999-04-23,0000732712,1999-04-23,8-K,BELL ATLANTIC CORP,59758.0,2.0,https://www.sec.gov/Archives/edgar/data/732712/0001036050-99-000853.txt
1999-04-28,0000732712,1999-04-28,8-K,BELL ATLANTIC CORP,5421.0,1.0,https://www.sec.gov/Archives/edgar/data/732712/0001036050-99-000888.txt
1999-05-10,0000732712,1999-05-10,8-K,BELL ATLANTIC CORP,15613.0,3.0,https://www.sec.gov/Archives/edgar/data/732712/0001036050-99-000991.txt
1999-05-12,0000732712,1999-05-12,10-Q,BELL ATLANTIC CORP,135204.0,3.0,https://www.sec.gov/Archives/edgar/data/732712/0001036050-99-001035.txt
1999-07-22,0000732712,1999-07-22,8-K,BELL ATLANTIC CORP,76602.0,2.0,https://www.sec.gov/Archives/edgar/data/732712/0001036050-99-001501.txt
1999-08-11,0000732712,1999-08-11,10-Q,BELL ATLANTIC CORP,173083.0,3.0,https://www.sec.gov/Archives/edgar/data/732712/0001036050-99-001679.txt
1999-08-26,0000732712,1999-08-26,8-K,BELL ATLANTIC CORP,32677.0,2.0,https://www.sec.gov/Archives/edgar/data/732712/0001036050-99-001818.txt
1999-09-13,0000732712,1999-09-13,8-K,BELL ATLANTIC CORP,6024.0,2.0,https://www.sec.gov/Archives/edgar/data/732712/0001036050-99-001890.txt
1999-09-22,0000732712,1999-09-22,8-K,BELL ATLANTIC CORP,23639.0,2.0,https://www.sec.gov/Archives/edgar/data/732712/0001036050-99-001931.txt
1999-10-07,0000732712,1999-10-07,8-K,BELL ATLANTIC CORP,12217.0,2.0,https://www.sec.gov/Archives/edgar/data/732712/0001036050-99-002020.txt
1999-10-21,0000732712,1999-10-21,8-K,BELL ATLANTIC CORP,75347.0,2.0,https://www.sec.gov/Archives/edgar/data/732712/0001036050-99-002140.txt
1999-11-10,0000732712,1999-11-10,10-Q,BELL ATLANTIC CORP,965422.0,4.0,https://www.sec.gov/Archives/edgar/data/732712/0001036050-99-002296.txt
1999-11-17,0000732712,1999-11-17,8-K,BELL ATLANTIC CORP,3478.0,1.0,https://www.sec.gov/Archives/edgar/data/732712/0001036050-99-002408.txt
1999-11-23,0000732712,1999-11-23,8-K,BELL ATLANTIC CORP,5648.0,2.0,https://www.sec.gov/Archives/edgar/data/732712/0001036050-99-002439.txt
1999-12-22,0000732712,1999-12-22,8-K,BELL ATLANTIC CORP,11820.0,2.0,https://www.sec.gov/Archives/edgar/data/732712/0001036050-99-002537.txt
1999-12-28,0000732712,1999-12-28,8-K,BELL ATLANTIC CORP,88128.0,3.0,https://www.sec.gov/Archives/edgar/data/732712/0000950134-99-011436.txt
2000-01-25,0000732712,2000-01-25,8-K,BELL ATLANTIC CORP,83439.0,2.0,https://www.sec.gov/Archives/edgar/data/732712/0001021408-00-000280.txt
2000-02-15,0000732712,2000-02-15,8-K,BELL ATLANTIC CORP,20405.0,2.0,https://www.sec.gov/Archives/edgar/data/732712/0001036050-00-000200.txt
